===========================================================
172.24.220.87
evarts
Filesystem                       Size  Used Avail Use% Mounted on
arwen:/datos/arwen                                                 909G  824G   40G  96% /misc/arwen
brown:/datos/brown                                                 1.8T  1.7T   91G  95% /misc/brown
claustrum:/datos/claustrum                                         3.6T  3.4T     0 100% /misc/claustrum
geminis:/datos/geminis2                                            3.6T  2.4T  1.1T  69% /misc/geminis2
lauterbur:/datos/lauterbur                                         494G  372G   98G  80% /misc/lauterbur
milagros:/datos/milagros                                           3.6T  2.3T  1.2T  65% /misc/milagros
nyquist:/datos/nyquist                                             3.6T  3.3T  160G  96% /misc/nyquist
ridelim:/datos/ridelim                                             916G  812G   59G  94% /misc/ridelim
tournoux:/datos/tournoux2                                          3.6T  1.9T  1.6T  55% /misc/tournoux2
tesla:/datos/tesla1                                                9.1T  7.0T  1.7T  81% /misc/tesla1
sherrington:/datos/sherrington                                     1.8T  980G  743G  57% /misc/sherrington
nyquist:/datos/nyquist2                                            1.8T   13G  1.7T   1% /misc/nyquist2
larmor:/datos/larmor2                                              476G  100G  352G  23% /misc/larmor2
larmor:/datos/larmor                                               5.5T  227G  5.0T   5% /misc/larmor
geminis:/datos/geminis                                             1.8T  1.4T  324G  82% /misc/geminis
tesla:/datos/tesla3                                                9.1T  3.1T  5.6T  36% /misc/tesla3
cajal:/datos/cajal                                                 916G   40K  870G   1% /misc/cajal
copula2:/datos/copula2                                             916G  758G  112G  88% /misc/copula2
damadian:/datos/damadian                                           3.6T  471G  3.0T  14% /misc/damadian
echinopsis:/datos/echinopsis1                                      727G   40K  690G   1% /misc/echinopsis1
echinopsis:/datos/echinopsis2                                      7.3T   59G  6.8T   1% /misc/echinopsis2
giora:/datos/giora                                                 902G  687G  169G  81% /misc/giora
giora:/datos/giora2                                                1.8T  1.3T  438G  75% /misc/giora2
lauterbur:/datos/lauterbur2                                        5.5T  1.1T  4.1T  22% /misc/lauterbur2
moca:/datos/moca1                                                  1.7T  101G  1.5T   7% /misc/moca1
moca:/datos/moca2                                                  7.3T  1.2T  5.8T  17% /misc/moca2
ogawa:/datos/ogawa                                                 440G  408G  8.9G  98% /misc/ogawa
ogawa:/datos/ogawa2                                                469G  332G  113G  75% /misc/ogawa2
ogawa:/datos/ogawa3                                                469G   32G  414G   7% /misc/ogawa3
opuntia:/datos/opuntia                                             1.7T  2.0G  1.6T   1% /misc/opuntia
penfield:/datos/penfield                                           1.8T  499G  1.3T  29% /misc/penfield
purcell:/datos/purcell                                             687G   47G  605G   8% /misc/purcell
tesla:/datos/tesla2                                                9.1T  7.9T  713G  92% /misc/tesla2
===========================================================
172.24.220.97
euler
Filesystem                       Size  Used Avail Use% Mounted on
tmpfs                            3.2G  2.2M  3.2G   1% /run
/dev/sda2                         46G   39G  4.4G  90% /
tmpfs                             16G  1.3M   16G   1% /dev/shm
tmpfs                            5.0M  8.0K  5.0M   1% /run/lock
efivarfs                         256K   63K  189K  26% /sys/firmware/efi/efivars
/dev/sda1                        508M  6.1M  502M   2% /boot/efi
/dev/sda3                         69G  596K   65G   1% /tmp
/dev/sda5                        3.5T  2.8T  515G  85% /misc/euler
hahn:/inb                        7.3T  1.1T  5.9T  15% /home/inb
tmpfs                            3.2G   72K  3.2G   1% /run/user/1168
tmpfs                            3.2G   72K  3.2G   1% /run/user/1028
rhesus:/datos/rhesus             1.4T  1.2T  177G  87% /misc/rhesus
carr:/datos/carr2                5.5T  3.4T  1.9T  65% /misc/carr2
ernst:/datos/ernst2              3.6T  486G  3.0T  14% /misc/ernst2
nyquist:/datos/nyquist2          1.8T   13G  1.7T   1% /misc/nyquist2
tmpfs                            3.2G  176K  3.2G   1% /run/user/1171
jasper:/datos/jasper             1.8T  1.4T  303G  83% /misc/jasper
claustrum:/datos/claustrum       3.6T  3.4T     0 100% /misc/claustrum
larmor:/datos/larmor             5.5T  227G  5.0T   5% /misc/larmor
larmor:/datos/larmor2            476G  100G  352G  23% /misc/larmor2
opuntia:/datos/opuntia           1.7T  2.0G  1.6T   1% /misc/opuntia
evarts:/datos/evarts2            1.8T  1.5T  205G  89% /misc/evarts2
lauterbur:/datos/lauterbur       494G  372G   98G  80% /misc/lauterbur
ridelim:/datos/ridelim           916G  812G   59G  94% /misc/ridelim
tournoux:/datos/tournoux         1.8T  1.7T   35G  99% /misc/tournoux
tezca:/datos/tezca               1.8T  1.6T  196G  89% /misc/tezca
tesla:/datos/tesla1              9.1T  7.0T  1.7T  81% /misc/tesla1
nyquist:/datos/nyquist           3.6T  3.3T  160G  96% /misc/nyquist
arwen:/datos/arwen               909G  824G   40G  96% /misc/arwen
austin:/datos/austin             902G  406G  450G  48% /misc/austin
brown:/datos/brown               1.8T  1.7T   91G  95% /misc/brown
cajal:/datos/cajal               916G   40K  870G   1% /misc/cajal
carr:/datos/carr                 1.8T  1.3T  423G  76% /misc/carr
charcot:/datos/charcot           3.6T  3.2T  272G  93% /misc/charcot
charcot:/datos/charcot2          1.8T  1.7T   65G  97% /misc/charcot2
copula:/datos/copula             3.6T  3.4T     0 100% /misc/copula
copula2:/datos/copula2           916G  758G  112G  88% /misc/copula2
damadian:/datos/damadian         3.6T  471G  3.0T  14% /misc/damadian
echinopsis:/datos/echinopsis1    727G   40K  690G   1% /misc/echinopsis1
echinopsis:/datos/echinopsis2    7.3T   59G  6.8T   1% /misc/echinopsis2
ernst:/datos/ernst               1.8T  1.7T     0 100% /misc/ernst
evarts:/datos/evarts             2.7T  2.1T  530G  80% /misc/evarts
fourier:/datos/fourier           917G  639G  232G  74% /misc/fourier
fourier:/datos/fourier2          1.8T  773G  968G  45% /misc/fourier2
geminis:/datos/geminis           1.8T  1.4T  324G  82% /misc/geminis
geminis:/datos/geminis2          3.6T  2.4T  1.1T  69% /misc/geminis2
giora:/datos/giora               902G  687G  169G  81% /misc/giora
giora:/datos/giora2              1.8T  1.3T  438G  75% /misc/giora2
lauterbur:/datos/lauterbur2      5.5T  1.1T  4.1T  22% /misc/lauterbur2
mansfield:/datos/mansfield       3.6T  3.2T  211G  94% /misc/mansfield
milagros:/datos/milagros         3.6T  2.3T  1.2T  65% /misc/milagros
moca:/datos/moca1                1.7T  101G  1.5T   7% /misc/moca1
moca:/datos/moca2                7.3T  1.2T  5.8T  17% /misc/moca2
ogawa:/datos/ogawa               440G  408G  8.9G  98% /misc/ogawa
ogawa:/datos/ogawa2              469G  332G  113G  75% /misc/ogawa2
ogawa:/datos/ogawa3              469G   32G  414G   7% /misc/ogawa3
penfield:/datos/penfield         1.8T  499G  1.3T  29% /misc/penfield
purcell:/datos/purcell           687G   47G  605G   8% /misc/purcell
rabi:/datos/rabi                 1.8T   63G  1.6T   4% /misc/rabi
sherrington:/datos/sherrington   1.8T  980G  743G  57% /misc/sherrington
sherrington:/datos/sherrington2  1.8T  1.3T  476G  73% /misc/sherrington2
tanner:/datos/tanner             2.7T  282G  2.3T  11% /misc/tanner
tesla:/datos/tesla2              9.1T  7.9T  713G  92% /misc/tesla2
tesla:/datos/tesla3              9.1T  3.1T  5.6T  36% /misc/tesla3
tezca:/datos/tezca2              916G  848G   22G  98% /misc/tezca2
tournoux:/datos/tournoux2        3.6T  1.9T  1.6T  55% /misc/tournoux2
===========================================================
172.24.220.98
geminis
Filesystem                       Size  Used Avail Use% Mounted on
tmpfs                            6.3G  2.4M  6.3G   1% /run
/dev/nvme0n1p2                    64G   54G  6.7G  90% /
tmpfs                             32G  7.7M   32G   1% /dev/shm
tmpfs                            5.0M  8.0K  5.0M   1% /run/lock
efivarfs                         256K   33K  219K  14% /sys/firmware/efi/efivars
/dev/nvme0n1p1                   509M  6.1M  503M   2% /boot/efi
/dev/nvme0n1p4                   386G  9.9M  366G   1% /tmp
/dev/sdb1                        3.6T  2.4T  1.1T  69% /misc/geminis2
/dev/sda1                        1.8T  1.4T  324G  82% /misc/geminis
hahn:/inb                        7.3T  1.1T  5.9T  15% /home/inb
tmpfs                            6.3G   88K  6.3G   1% /run/user/1028
tmpfs                            6.3G   88K  6.3G   1% /run/user/1083
tmpfs                            6.3G   88K  6.3G   1% /run/user/1135
tmpfs                            6.3G   88K  6.3G   1% /run/user/1180
tmpfs                            6.3G   88K  6.3G   1% /run/user/1282
tmpfs                            6.3G   88K  6.3G   1% /run/user/1256
tmpfs                            6.3G  2.6M  6.3G   1% /run/user/1174
nyquist:/datos/nyquist           3.6T  3.3T  160G  96% /misc/nyquist
milagros:/datos/milagros         3.6T  2.3T  1.2T  65% /misc/milagros
arwen:/datos/arwen               909G  824G   40G  96% /misc/arwen
austin:/datos/austin             902G  406G  450G  48% /misc/austin
brown:/datos/brown               1.8T  1.7T   91G  95% /misc/brown
cajal:/datos/cajal               916G   40K  870G   1% /misc/cajal
carr:/datos/carr                 1.8T  1.3T  423G  76% /misc/carr
carr:/datos/carr2                5.5T  3.4T  1.9T  65% /misc/carr2
charcot:/datos/charcot           3.6T  3.2T  272G  93% /misc/charcot
charcot:/datos/charcot2          1.8T  1.7T   65G  97% /misc/charcot2
claustrum:/datos/claustrum       3.6T  3.4T     0 100% /misc/claustrum
copula:/datos/copula             3.6T  3.4T     0 100% /misc/copula
copula2:/datos/copula2           916G  758G  112G  88% /misc/copula2
damadian:/datos/damadian         3.6T  471G  3.0T  14% /misc/damadian
echinopsis:/datos/echinopsis1    727G   40K  690G   1% /misc/echinopsis1
echinopsis:/datos/echinopsis2    7.3T   59G  6.8T   1% /misc/echinopsis2
ernst:/datos/ernst               1.8T  1.7T     0 100% /misc/ernst
ernst:/datos/ernst2              3.6T  486G  3.0T  14% /misc/ernst2
euler:/datos/euler               3.5T  2.8T  515G  85% /misc/euler
evarts:/datos/evarts             2.7T  2.1T  530G  80% /misc/evarts
evarts:/datos/evarts2            1.8T  1.5T  205G  89% /misc/evarts2
fourier:/datos/fourier           917G  639G  232G  74% /misc/fourier
fourier:/datos/fourier2          1.8T  773G  968G  45% /misc/fourier2
giora:/datos/giora               902G  687G  169G  81% /misc/giora
giora:/datos/giora2              1.8T  1.3T  438G  75% /misc/giora2
jasper:/datos/jasper             1.8T  1.4T  303G  83% /misc/jasper
larmor:/datos/larmor             5.5T  227G  5.0T   5% /misc/larmor
larmor:/datos/larmor2            476G  100G  352G  23% /misc/larmor2
lauterbur:/datos/lauterbur       494G  372G   98G  80% /misc/lauterbur
lauterbur:/datos/lauterbur2      5.5T  1.1T  4.1T  22% /misc/lauterbur2
mansfield:/datos/mansfield       3.6T  3.2T  211G  94% /misc/mansfield
moca:/datos/moca1                1.7T  101G  1.5T   7% /misc/moca1
moca:/datos/moca2                7.3T  1.2T  5.8T  17% /misc/moca2
nyquist:/datos/nyquist2          1.8T   13G  1.7T   1% /misc/nyquist2
ogawa:/datos/ogawa               440G  408G  8.9G  98% /misc/ogawa
ogawa:/datos/ogawa2              469G  332G  113G  75% /misc/ogawa2
ogawa:/datos/ogawa3              469G   32G  414G   7% /misc/ogawa3
opuntia:/datos/opuntia           1.7T  2.0G  1.6T   1% /misc/opuntia
penfield:/datos/penfield         1.8T  499G  1.3T  29% /misc/penfield
purcell:/datos/purcell           687G   47G  605G   8% /misc/purcell
rabi:/datos/rabi                 1.8T   63G  1.6T   4% /misc/rabi
rhesus:/datos/rhesus             1.4T  1.2T  177G  87% /misc/rhesus
ridelim:/datos/ridelim           916G  812G   59G  94% /misc/ridelim
sherrington:/datos/sherrington   1.8T  980G  743G  57% /misc/sherrington
sherrington:/datos/sherrington2  1.8T  1.3T  476G  73% /misc/sherrington2
tanner:/datos/tanner             2.7T  282G  2.3T  11% /misc/tanner
tesla:/datos/tesla1              9.1T  7.0T  1.7T  81% /misc/tesla1
tesla:/datos/tesla2              9.1T  7.9T  713G  92% /misc/tesla2
tesla:/datos/tesla3              9.1T  3.1T  5.6T  36% /misc/tesla3
tezca:/datos/tezca               1.8T  1.6T  196G  89% /misc/tezca
tezca:/datos/tezca2              916G  848G   22G  98% /misc/tezca2
tournoux:/datos/tournoux         1.8T  1.7T   35G  99% /misc/tournoux
tournoux:/datos/tournoux2        3.6T  1.9T  1.6T  55% /misc/tournoux2
===========================================================
172.24.220.101
tournoux
Filesystem                      Size  Used Avail Use% Mounted on
tmpfs                           6.3G  2.3M  6.3G   1% /run
/dev/nvme0n1p2                   64G   56G  4.6G  93% /
tmpfs                            32G  3.2M   32G   1% /dev/shm
tmpfs                           5.0M  8.0K  5.0M   1% /run/lock
efivarfs                        256K   33K  219K  13% /sys/firmware/efi/efivars
/dev/sdb1                       3.6T  1.9T  1.6T  55% /misc/tournoux2
/dev/nvme0n1p1                  509M  6.1M  503M   2% /boot/efi
